"Notes"	"Census Region"	"Census Region Code"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
"Total"	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"					16420	26171157	62.7	61.8	63.7
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Female"	"F"	"2020"	"2020"	23809	13320455	178.7	176.5	181.0
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Female"	"F"	"2021"	"2021"	23481	13363124	175.7	173.5	178.0
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Female"	"F"	"2022"	"2022"	23084	13497014	171.0	168.8	173.2
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Female"	"F"	"2023"	"2023"	22528	13670179	164.8	162.6	166.9
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Female"	"F"	"2024 "	"2024"	22761	13901121	163.7	161.6	165.9
"Total"	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Female"	"F"			115663	67751893	170.7	169.7	171.7
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Male"	"M"	"2020"	"2020"	27902	12024276	232.0	229.3	234.8
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Male"	"M"	"2021"	"2021"	28605	12170219	235.0	232.3	237.8
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Male"	"M"	"2022"	"2022"	27758	12312400	225.4	222.8	228.1
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Male"	"M"	"2023"	"2023"	27298	12414196	219.9	217.3	222.5
	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Male"	"M"	"2024 "	"2024"	27393	12617157	217.1	214.5	219.7
"Total"	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"	"Male"	"M"			138956	61538248	225.8	224.6	227.0
"Total"	"Census Region 3: South"	"CENS-R3"	"Black or African American"	"2054-5"					254619	129290141	196.9	196.2	197.7
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2020"	"2020"	72	83155	86.6	67.7	109.0
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2021"	"2021"	60	85357	70.3	53.6	90.5
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2022"	"2022"	74	89200	83.0	65.1	104.1
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2023"	"2023"	57	93134	61.2	46.4	79.3
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2024 "	"2024"	70	99298	70.5	55.0	89.1
"Total"	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"			333	450144	74.0	66.0	81.9
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2020"	"2020"	77	87344	88.2	69.6	110.2
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2021"	"2021"	79	89904	87.9	69.6	109.5
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2022"	"2022"	76	93616	81.2	64.0	101.6
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2023"	"2023"	94	97878	96.0	77.6	117.5
	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2024 "	"2024"	98	103984	94.2	76.5	114.9
"Total"	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"			424	472726	89.7	81.2	98.2
"Total"	"Census Region 3: South"	"CENS-R3"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"					757	922870	82.0	76.2	87.9
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Female"	"F"	"2020"	"2020"	96115	46491726	206.7	205.4	208.0
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Female"	"F"	"2021"	"2021"	98347	46298592	212.4	211.1	213.7
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Female"	"F"	"2022"	"2022"	99156	46647735	212.6	211.2	213.9
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Female"	"F"	"2023"	"2023"	96923	47121614	205.7	204.4	207.0
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Female"	"F"	"2024 "	"2024"	98541	47807194	206.1	204.8	207.4
"Total"	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Female"	"F"			489082	234366861	208.7	208.1	209.3
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Male"	"M"	"2020"	"2020"	122033	45427270	268.6	267.1	270.1
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Male"	"M"	"2021"	"2021"	125466	45766994	274.1	272.6	275.7
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Male"	"M"	"2022"	"2022"	125650	46225392	271.8	270.3	273.3
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Male"	"M"	"2023"	"2023"	122781	46513832	264.0	262.5	265.4
	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Male"	"M"	"2024 "	"2024"	124586	47201053	263.9	262.5	265.4
"Total"	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"	"Male"	"M"			620516	231134541	268.5	267.8	269.1
"Total"	"Census Region 3: South"	"CENS-R3"	"White"	"2106-3"					1109598	465501402	238.4	237.9	238.8
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Female"	"F"	"2020"	"2020"	322	1551006	20.8	18.5	23.0
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Female"	"F"	"2021"	"2021"	318	1601593	19.9	17.7	22.0
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Female"	"F"	"2022"	"2022"	321	1671480	19.2	17.1	21.3
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Female"	"F"	"2023"	"2023"	324	1730362	18.7	16.7	20.8
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Female"	"F"	"2024 "	"2024"	348	1807584	19.3	17.2	21.3
"Total"	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Female"	"F"			1633	8362025	19.5	18.6	20.5
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Male"	"M"	"2020"	"2020"	406	1501477	27.0	24.4	29.7
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Male"	"M"	"2021"	"2021"	419	1555000	26.9	24.4	29.5
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Male"	"M"	"2022"	"2022"	427	1629483	26.2	23.7	28.7
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Male"	"M"	"2023"	"2023"	415	1684651	24.6	22.3	27.0
	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Male"	"M"	"2024 "	"2024"	451	1765991	25.5	23.2	27.9
"Total"	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"	"Male"	"M"			2118	8136602	26.0	24.9	27.1
"Total"	"Census Region 3: South"	"CENS-R3"	"More than one race"	"M"					3751	16498627	22.7	22.0	23.5
"Total"	"Census Region 3: South"	"CENS-R3"							1391804	645395258	215.7	215.3	216.0
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2020"	"2020"	717	978060	73.3	67.9	78.7
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2021"	"2021"	741	983113	75.4	69.9	80.8
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2022"	"2022"	776	978106	79.3	73.8	84.9
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2023"	"2023"	737	991148	74.4	69.0	79.7
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2024 "	"2024"	713	1024037	69.6	64.5	74.7
"Total"	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"			3684	4954464	74.4	72.0	76.8
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2020"	"2020"	1009	981092	102.8	96.5	109.2
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2021"	"2021"	1099	993372	110.6	104.1	117.2
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2022"	"2022"	1044	992135	105.2	98.8	111.6
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2023"	"2023"	1050	999116	105.1	98.7	111.4
	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2024 "	"2024"	1041	1037073	100.4	94.3	106.5
"Total"	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"			5243	5002788	104.8	102.0	107.6
"Total"	"Census Region 4: West"	"CENS-R4"	"American Indian or Alaska Native"	"1002-5"					8927	9957252	89.7	87.8	91.5
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Female"	"F"	"2020"	"2020"	4423	4587303	96.4	93.6	99.3
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Female"	"F"	"2021"	"2021"	4356	4589232	94.9	92.1	97.7
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Female"	"F"	"2022"	"2022"	4559	4677588	97.5	94.6	100.3
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Female"	"F"	"2023"	"2023"	4392	4770899	92.1	89.3	94.8
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Female"	"F"	"2024 "	"2024"	4281	5014600	85.4	82.8	87.9
"Total"	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Female"	"F"			22011	23639622	93.1	91.9	94.3
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Male"	"M"	"2020"	"2020"	5064	4125510	122.7	119.4	126.1
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Male"	"M"	"2021"	"2021"	5186	4175612	124.2	120.8	127.6
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Male"	"M"	"2022"	"2022"	5430	4280791	126.8	123.5	130.2
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Male"	"M"	"2023"	"2023"	5103	4345456	117.4	114.2	120.7
	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Male"	"M"	"2024 "	"2024"	5262	4566713	115.2	112.1	118.3
"Total"	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"	"Male"	"M"			26045	21494082	121.2	119.7	122.6
"Total"	"Census Region 4: West"	"CENS-R4"	"Asian"	"A"					48056	45133704	106.5	105.5	107.4
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Female"	"F"	"2020"	"2020"	3410	2050133	166.3	160.7	171.9
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Female"	"F"	"2021"	"2021"	3362	2045250	164.4	158.8	169.9
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Female"	"F"	"2022"	"2022"	3451	2057265	167.7	162.2	173.3
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Female"	"F"	"2023"	"2023"	3339	2080412	160.5	155.1	165.9
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Female"	"F"	"2024 "	"2024"	3364	2115790	159.0	153.6	164.4
"Total"	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Female"	"F"			16926	10348850	163.6	161.1	166.0
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Male"	"M"	"2020"	"2020"	4722	2126005	222.1	215.8	228.4
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Male"	"M"	"2021"	"2021"	4639	2146357	216.1	209.9	222.4
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Male"	"M"	"2022"	"2022"	4726	2162923	218.5	212.3	224.7
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Male"	"M"	"2023"	"2023"	4467	2177856	205.1	199.1	211.1
	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Male"	"M"	"2024 "	"2024"	4516	2217548	203.6	197.7	209.6
"Total"	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"	"Male"	"M"			23070	10830689	213.0	210.3	215.8
"Total"	"Census Region 4: West"	"CENS-R4"	"Black or African American"	"2054-5"					39996	21179539	188.8	187.0	190.7
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2020"	"2020"	292	271698	107.5	95.1	119.8
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2021"	"2021"	316	275465	114.7	102.1	127.4
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2022"	"2022"	343	277189	123.7	110.6	136.8
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2023"	"2023"	308	281041	109.6	97.4	121.8
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2024 "	"2024"	338	289706	116.7	104.2	129.1
"Total"	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"			1597	1395099	114.5	108.9	120.1
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2020"	"2020"	473	278371	169.9	154.6	185.2
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2021"	"2021"	537	284130	189.0	173.0	205.0
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2022"	"2022"	498	285937	174.2	158.9	189.5
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2023"	"2023"	494	287466	171.8	156.7	187.0
	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2024 "	"2024"	503	296611	169.6	154.8	184.4
"Total"	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"			2505	1432515	174.9	168.0	181.7
"Total"	"Census Region 4: West"	"CENS-R4"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"					4102	2827614	145.1	140.6	149.5
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Female"	"F"	"2020"	"2020"	48675	29820330	163.2	161.8	164.7
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Female"	"F"	"2021"	"2021"	48716	29575246	164.7	163.3	166.2
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Female"	"F"	"2022"	"2022"	49940	29442287	169.6	168.1	171.1
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Female"	"F"	"2023"	"2023"	48352	29456399	164.1	162.7	165.6
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Female"	"F"	"2024 "	"2024"	47898	29653069	161.5	160.1	163.0
"Total"	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Female"	"F"			243581	147947331	164.6	164.0	165.3
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Male"	"M"	"2020"	"2020"	63640	30025361	212.0	210.3	213.6
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Male"	"M"	"2021"	"2021"	64444	30115470	214.0	212.3	215.6
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Male"	"M"	"2022"	"2022"	65252	30055939	217.1	215.4	218.8
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Male"	"M"	"2023"	"2023"	63693	29918836	212.9	211.2	214.5
	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Male"	"M"	"2024 "	"2024"	62887	30117910	208.8	207.2	210.4
"Total"	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"	"Male"	"M"			319916	150233516	212.9	212.2	213.7
"Total"	"Census Region 4: West"	"CENS-R4"	"White"	"2106-3"					563497	298180847	189.0	188.5	189.5
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Female"	"F"	"2020"	"2020"	760	1706013	44.5	41.4	47.7
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Female"	"F"	"2021"	"2021"	736	1737669	42.4	39.3	45.4
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Female"	"F"	"2022"	"2022"	758	1757390	43.1	40.1	46.2
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Female"	"F"	"2023"	"2023"	816	1788038	45.6	42.5	48.8
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Female"	"F"	"2024 "	"2024"	862	1834148	47.0	43.9	50.1
"Total"	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Female"	"F"			3932	8823258	44.6	43.2	46.0
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Male"	"M"	"2020"	"2020"	1109	1704880	65.0	61.2	68.9
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Male"	"M"	"2021"	"2021"	1134	1746218	64.9	61.2	68.7
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Male"	"M"	"2022"	"2022"	1136	1775814	64.0	60.3	67.7
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Male"	"M"	"2023"	"2023"	1194	1800138	66.3	62.6	70.1
	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Male"	"M"	"2024 "	"2024"	1250	1848571	67.6	63.9	71.4
"Total"	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"	"Male"	"M"			5823	8875621	65.6	63.9	67.3
"Total"	"Census Region 4: West"	"CENS-R4"	"More than one race"	"M"					9755	17698879	55.1	54.0	56.2
"Total"	"Census Region 4: West"	"CENS-R4"							674333	394977835	170.7	170.3	171.1
"Total"									3459861	1669691308	207.2	207.0	207.4
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"ICD-10 Codes: I00-I02 (Acute rheumatic fever); I05-I09 (Chronic rheumatic heart diseases); I11.0 (Hypertensive heart disease"
"with (congestive) heart failure); I11.9 (Hypertensive heart disease without (congestive) heart failure); I13.0 (Hypertensive"
"heart and renal disease with (congestive) heart failure); I13.1 (Hypertensive heart and renal disease with renal failure); I13.2"
"(Hypertensive heart and renal disease with both (congestive) heart failure and renal failure); I13.9 (Hypertensive heart and"
"renal disease, unspecified); I20-I25 (Ischaemic heart diseases); I26-I28 (Pulmonary heart disease and diseases of pulmonary"
"circulation); I30-I51 (Other forms of heart disease)"
"Year/Month: 2020; 2021; 2022; 2023; 2024"
"Group By: Census Region; Single Race 6; Sex; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 1:24:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Sep 16, 2026 1:24:51 PM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals."
"3. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
"resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2022 are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1,"
"2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates"
"for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The"
"population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"5. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Connecticut-2022."
"6. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"7. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
