"Notes"	"Census Region"	"Census Region Code"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Male"	"M"	"2023"	"2023"	7367	3733273	197.3	192.8	201.8
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Male"	"M"	"2024 "	"2024"	7511	3840490	195.6	191.2	200.0
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Male"	"M"			38588	18619279	207.2	205.2	209.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"					73882	38937402	189.7	188.4	191.1
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2020"	"2020"	12	32893	36.5	18.9	63.7
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2022"	"2022"	10	34472	29.0	13.9	53.3
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2024 "	"2024"	13	38045	34.2	18.2	58.4
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"			48	175495	27.4	20.2	36.3
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2020"	"2020"	21	32538	64.5	40.0	98.7
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2021"	"2021"	11	33812	32.5	16.2	58.2
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2022"	"2022"	15	34412	43.6	24.4	71.9
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2023"	"2023"	10	35701	28.0	13.4	51.5
	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2024 "	"2024"	21	37636	55.8	34.5	85.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"			78	174099	44.8	35.4	55.9
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"					126	349594	36.0	29.7	42.3
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Female"	"F"	"2020"	"2020"	51803	21652302	239.2	237.2	241.3
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Female"	"F"	"2021"	"2021"	49041	21938876	223.5	221.6	225.5
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Female"	"F"	"2022"	"2022"	50149	21762325	230.4	228.4	232.5
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Female"	"F"	"2023"	"2023"	47463	21710141	218.6	216.7	220.6
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Female"	"F"	"2024 "	"2024"	46453	21821621	212.9	210.9	214.8
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Female"	"F"			244909	108885265	224.9	224.0	225.8
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Male"	"M"	"2020"	"2020"	57188	20823003	274.6	272.4	276.9
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Male"	"M"	"2021"	"2021"	55235	21385700	258.3	256.1	260.4
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Male"	"M"	"2022"	"2022"	55715	21261284	262.0	259.9	264.2
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Male"	"M"	"2023"	"2023"	53598	21147721	253.4	251.3	255.6
	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Male"	"M"	"2024 "	"2024"	52895	21271400	248.7	246.5	250.8
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"	"Male"	"M"			274631	105889108	259.4	258.4	260.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"White"	"2106-3"					519540	214774373	241.9	241.2	242.6
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Female"	"F"	"2020"	"2020"	114	702739	16.2	13.2	19.2
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Female"	"F"	"2021"	"2021"	108	732074	14.8	12.0	17.5
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Female"	"F"	"2022"	"2022"	101	750273	13.5	10.8	16.1
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Female"	"F"	"2023"	"2023"	113	767241	14.7	12.0	17.4
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Female"	"F"	"2024 "	"2024"	116	803858	14.4	11.8	17.1
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Female"	"F"			552	3756185	14.7	13.5	15.9
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Male"	"M"	"2020"	"2020"	134	677089	19.8	16.4	23.1
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Male"	"M"	"2021"	"2021"	118	709832	16.6	13.6	19.6
	"Census Region 1: Northeast"	"CENS-R1"	"More than one race"	"M"	"Male"	"M"	"2022"	"2022"	131	729817	17.9	14.9	21.0
